"ds","id","query","product_title","product_description","median_relevance","relevance_variance"
"7666",24739,"spiderman"," 2099 infinite legends marvel new series spiderman","",3,0.471
"7667",24743,"seagate 2tb hard disk"," backup drive external hard plus seagate stdt2000100 usb"," 1979 addition along backbone backup brand broadest businesses centres cloudbased company computers computing consumers content data desktop digital disc documents drive drives enterprise extensive family form founded friends fuel general hard help hybrid industrys information leading line manufacturer media model music name networks notebook number offers part people personal plus portfolio product productivity products protect provider recovery retail seagate servers services share small social solid solutions state stdt2000100 storage store technology type valuable videos",4,0
"7668",24747,"rachel ray cookware"," cookware piece rachael ray set stainless steel","",4,0
"7669",24750,"coffee cup"," coffeemaker cup programmable"," allows auto basket brewing coffee complete cone cup cycle easy filling filter flavor glance grounds indicates level make option pause pour rich saturates serve shaped thoroughly water window",2,0.471
"7670",24751,"iphone 4 case"," case dancing iphone sharp shirter sloth"," bills case climb created dolla finish fit glossy hard iphone loves made plastic sloth",4,0
"7671",24752,"waffle maker"," 19001960 antique electric irons paperback waffle"," 245 antiques author collectibles demand english enre genre george kitchenware language pages pub publisher subgenre trafford william",2,1.02
"7672",24755,"screen protector samsung"," galaxy protector samsung screen zagg"," accentuate advanced choice clarity clear colors created definition designs device displays exceptionally exclusive film gadget glasslike high images indestructible invisibleshield offers original perfect protecting sharp surface thin thousands unbelievably vibrant virtually zagg",4,0
"7673",24757,"three wheeled bike"," bike dushi wheel wooden"," accents advance another area around bike blue child children closer color comfortably dushi ensures helps little motor number one raised red remain riding saddle seated step sturdy tricycle will wooden",4,0.471
"7674",24758,"storage drawers"," black chest drawer paper rope"," anything bathroom beautiful black bowl bring brown charm chests chic closet compact corner crannies d<U+00E9>cor drawer else every extra filled find fit flourish gloves hall handwoven haven home instant keep linens little magazines make natural nooks one open order paper place practical rich right rolls rope scarves shelf soaps space stains store sturdy stylish sure top towels tuck turns washcloths winsome world",3,0.632
"7675",24763,"boyfriend jeans"," boyfriend citizens emerson humanity jeans slim"," behold boyfriend citizens cut fave figure fit flatter humanity jeans next slim style",4,0
"7676",24771,"playstation 4"," 500 black console jet latest model playstation sony"," 180 access alone amazing apps astounding best blockbusters breathing broadcast brought built button can capabilities combining commentary community complete connected console content create curates deeply developer development digital direct doesn door dynamic ebay ensuring entertainment environments epic exclusives experiences explore fantastic favorite features fee fire focused focuses friends full galactic gameplay gamer gamers gamersgamer games gaming get graphics gritty guidesbr hero historical hits immersive immortalize incredible indie innovative inspired inspiredthe integrated intelligent intuitive intuitively inventive journey jump landscapes launch learns legend life limits lineup live living matters membership moments movies music network new nextgen offers often opens personalization place platformbrread play playstation points possible powerful press provides ps4 require scale secondscreen settings share social sophisticated spectrum speed sports step subscriptions system television toptier unparalleled urban use using vast way without world worlds",4,0
"7677",24773,"wireless mouse"," cordless insten mouse optical wireless"," 100x 134 24ghz 256 394 8001600 aaa across adjustable batteries battery built builtin can code comfort connectivity cursor design designed desk distance dpi easy effective enjoy ergonomically gliding grip inche included inside insten intelligent internet keys memory meters minireceiver mouse neatly need needed optical pad play plug powered receiver recording replacement size speed stored surfing transmission usb use wireless without",4,0
"7678",24781,"nike shox"," dark deliver girls glowmetallic grade greypink nike school shox silverblack","",4,0
"7679",24782,"coffee for nespresso"," capsule gifts machine nespresso new nib reusable stainless steel","",2,0.471
"7680",24787,"fitbit charge"," fit gear samsung"," access achieve act active activity advanced also amoled bands battery bluetooth can coach color connectivity curved days designed device devices dustproof easier efficient features first fit fitness five fully gear gift give goals great heart ideal including indoor interchangeable last lifestyle make monitoring multiple notifications one options outdoor pedometer personal plan quicker rate rechargeable routines samsung sensor smart stick stylish super trainer virtual waterresistant wearable well workout",2,0.943
"7681",24792,"green bay packers"," bay brothersboys green nfl packers teepinesize xl14 zombie","",3,1.166
"7682",24793,"storage ottoman"," grey ottoman phila storage"," classic comfortable compartment cushion design feet flip help keep living multifunctional offers open organized ottoman put reveal room seat spacious spot storage",4,0.866
"7683",24797,"three wheeled bike"," cruiser mobito mobo three ultimate wheeled youth"," 180 addition adjustable adjustment adjustments adventure age alignment allows angle angles area arm automatic awesome back balance bonus brake brand built caliper capacity catcher chain chainless child come comfort comfortable coordination cruiser cruising cushioned design designed durable emergency enhances ergonomic ergonomically excitement exciting exercise expect eye feature features fit fits flag flat frame free freewheel front fun galore gearing graphics great ground grow hand handbrake handeye handlebars healthy height high hub impeccable included includes increases inflatable innovative just kids lbs leg length lines look love lowtotheground luxury material maximum mechanism mobility mobito mobo muscle navigating needed new next optimal parents promote quality quick rear rearwheel recommended riders riding rubber rugged safety say seat settings single six size sized sleek slot smooth speed stability steel steering strength sturdy stylish support surfaces system three tire tires turns type ultimate visibility way weight wheel wheeled without yet youth",4,0.471
